,event_id,title,is_free,category_name,gu,location,start_date,end_date,target_user,event_description,station
0,10,김정현 플루트 독주회 ,False,독주/독창회,종로구,세종문화회관 체임버홀-,2025-06-25,2025-06-25,초등학생 이상,"Profile   Flutist 김정현  탁월한 연주력과 다채로운 레퍼토리로 신선한 무대를 선사하는 플루티스트 김정현은 예원학교와 서울예술고등학교, 서울대학교 음악대학을 졸업한 후 미국 Carnegie Mellon University에서 Jeanne Baxtresser, Alberto Almarza를 사사하며 석사과정을 졸업하였고, 석사 졸업과 동시에 Pi Kappa Lambda(미국 명예 음악인협회)의 멤버로 선정되었다. 학업에 대한 열정은 계속되어 Peabody Institute of Johns Hopkins University에서 Marina Piccinini를 사사하며 박사학위(DMA)를 취득하였다. 한편 그녀는 박사과정 중 Miriam, A. Concert Hall, Goodwin Recital Hall, Griswold Hall 등에서 6차례의 박사 리사이틀을 연주하였으며, Civic Orchestra of Chicago에서 2년간 수석 연주자로 활동하며 음악의 깊이를 더해갔다. 일찍부터 두각을 나타낸 그녀는 중앙일보콩쿨, 이화경향콩쿨, 조선일보콩쿨, 부산MBC콩쿨, 음악춘추콩쿨, 월간음악콩쿨, 한국플루트협회콩쿨, 서울심포니콩쿨 등에서 입상 및 우승하였으며, 미국 Pittsburgh Concert Society 우승 및 우승기념 독주회, Baltimore Music Club 우승 및 우승기념 독주회, Astral Artists National Winds Audition Finalist로 선정, Hugo Kauder International Woodwind Competition, Alexander & Buono International Flute Competition 입상 등으로 실력을 입증하였다.  금호 영아티스트 독주회 및 목관오중주 연주, 코리안심포니, 서울심포니, 서울시청소년교향악단, Carnegie Mellon Baroque Ensemble 등과 협연하며 관객과 호흡한 그녀는 New York Trinity Wall Street 주최 오디션에 선발되어 ‘Concerts at One’ 시리즈 독주회, Flute Society of Washington Flute Fair Collegiate Recital, National Repertory Orchestra 수석연주(Carol Erickson Chair), New World Symphony 객원연주, Oistrach Symphony 객원연주, 스위스 바젤챔버 객원연주 등 독주 뿐만 아니라, 실내악, 오케스트라 등 폭넓은 연주 경력을 쌓아갔다. 또한, Peter-Lukas Graf(Mozarteum Music Festival in Salzburg, Austria), Robert Langevin(Orford Music Festival in Canada), Philippe Bernold, Ransom Wilson(Academie Internationale d'Ete de Nice) 등의 국제 음악 페스티벌에 참가하며 음악에 대한 학구적인 면모를 쌓아왔다.     2012년 예술의전당에서 귀국독주회를 시작으로, 매거진 Flute & 초청 신인음악회(세종문화회관 체임버홀) 및 유중아트홀 뮤직플러스 조인트 리사이틀, 살롱시리즈, 닥터만 금요초청음악회 연주, 예술의전당에서 독주회, 하늠챔버 앙상블과 피콜로 협연(예술의전당 IBK챔버홀), 현대음악앙상블 Project D7(세종문화회관 체임버홀), 일신홀에서 플륫, 비올라, 피아노 트리오 연주, 금호아트홀 연세에서 독주회, 페리지홀 런치타임 콘서트 등 다채로운 연주 활동을 전개하며 자신만의 음악세계를 견고히 하였다. 또한 서울시향, KBS교향악단, 국립심포니, 인천시향, 부천시향, 성남시향, KT 챔버, TIMF 앙상블 등 다수의 오케스트라에서 객원단원으로 활동하고 있다.   ？  평택대 겸임교수, 강남대, 성신여대, 전남대, 국립강릉원주대, 안양대, 한세대 강사를 역임하고 현재 김포필하모닉 오케스트라 수석으로 활발한 음악적 활동을 전개하고 있으며, 삼육대 겸임교수이자 추계예대, 덕성여대 음악아카데미에 출강하여 후학양성에도 꾸준히 힘쓰고 있다.     Piano 문재원  · DAAD 장학금 수혜  · 독일 하노버국립음대 Prof. Arie Vardi 사사  · 독일 하노버국립음대 Künstlerische Ausbildung, Konzertexamen Soloklasse 졸업  · Sydney International Piano Competition, Delia Steinberg International Piano Competition, Lev Vlassenko Piano Competition 등 콩쿠르 수상  · 소프라노 조수미, 플루티스트 Andreas Blau, Paolo Taballione, 조성현, 최나경, 바이올리니스트 신지아, 비올리스트 리처드용재오닐 등 다양한 아티스트와 리사이틀  · 피아니스트 손열음과 듀오앨범 ‘Under the Sun' 제작 및 발매  · 현재 : 계명대학교 출강     Program  Franz Benda (1709-1786)  Sonata in F Major for Flute and Piano  Adagio  Allegro  Vivace     Sigfrid Karg-Elert (1877-1933)  Sinfonische Kanzone for Flute and Piano, Op. 114     Alfredo Casella (1883-1947)  Sicilienne et Burlesque for Flute and Piano, Op. 23     Intermission     Robert Dick (b.1950)  Fish are jumping for Flute Solo     Charles-Marie Widor (1844-1937)  Suite for Flute and Piano, Op. 34  Moderato  Scherzo. Allegro vivace  Romance. Andantino  Final. Vivace",광화문역
1,49,[미래한강본부] 2025 한강 대학가요제,True,축제,광진구,뚝섬한강공원 수변무대-,2025-05-24,2025-05-24,누구나,"2025 한강 대학가요제  2025. 5. 24(토) 19:00 뚝섬한강공원 수변무대  전국 대학(원)생이면 누구나 참여 가능!  총 상금 4,000만원! 대상  2,000만원  금상  1,000만원  은상  500만원  동상  300만원  인기상(2개팀)  각 100만원 접수기간  2025. 3. 24(월)~/선착순 300개 팀  1차 예선  2025. 4. 11(금)/1차 예선-영상심사  결과발표  2025.4.18(금)/30개 팀 선정  2차 예선  2025. 4. 26(토)/최종 예선-여의도 한강공원 물빛무대  결과발표  2025. 5. 2(금)/10개 팀 선정  본 선  2025. 5. 24(토)/본선-뚝섬한강공원 수변무대 제출서류  참가신청서(네이버폼 또는 구글폼) 작성후 제출  접수방법  QR코드 접속 > 참가신청서(네이버폼 또는 구글폼) 제출  문의  전화 02-783-8088/홈페이지(www.csfoc.co.kr) Q&A 문의",뚝섬유원지역
2,77,황건영 피아노 독주회,False,클래식,서초구,예술의전당 리사이틀홀-,2025-05-17,2025-05-17,누구나,"2025. 5. 17. (토) 오후 2시 예술의전당 리사이틀홀           주최 / 황건영  주관 / 황건영, 지클레프  후원 / 서울특별시, 서울문화재단, 예원학교, 서울예고, 베를린 한스 아이슬러 국립음대, 독일 쾰른 국립음대, 콜번 스쿨 콘서바토리 동문회  입장권 / 일반석 3만원  예매처 / 예술의전당, 인터파크티켓, YES24  공연문의 / 지클레프 02-515-5123        PROFILE ？Pianist 황건영  피아니스트 황건영은 예원학교를 졸업하고, 서울예술고등학교에서 재학중 만 17세에 베를린 한스 아이슬러 국립음대(Hochschule für Musik Hanns Eisler Berlin)에 조기 입학하였으며, YAMAHA 유럽재단의 ‘Deutschlandstipendium’ 장학금을 수혜받으며 학사 과정(Bachelor)을 우등 졸업했다.  이후 쾰른 국립음대(Hochschule für Musik und Tanz Köln)에서 피아노 석사 과정(Solo Piano Master degree)을 졸업하고 실내악(Klavier-Kammermusik) 석사 과정을 수료하였으며 이후 동대학에서 최고연주자과정(Konzertexamen)을 만장일치 최고 점수(Auszeichnung bestanden)로 졸업하며 뛰어난 기량을 인정받았다.  최고연주자과정 재학 중에는 LA 콜번 스쿨(Colburn School)의 아티스트디플로마 (Artist Diploma)과정을 전액 장학금을 수혜받으며 졸업했다.     솔리스트로서 스페인의 La Orquesta FIMA, 광주여성필하모닉 오케스트라, 양주시립교향악단 등과 협연하며 깊이 있는 해석과 조화로운 연주를 선보였고, NWD-Philharmoniker, Beethovenfest Bonn, Ravinia Festival, 독일 ARD 방송국, Prinzregententheater, Steinway & Sons Monthly Concert Series, Cerritos Center for the Performing Arts(LA), Aspen Music Festival 등 세계적인 무대에서 초청 연주를 이어갔다.     일찍이 음연 콩쿠르 1위, 국민일보·한세대 콩쿠르 전체 특상, 삼익 & 벡슈타인 콩쿠르, 수리 콩쿠르, 소년한국일보 콩쿠르 등에서 상위 입상하며 연주자로서 두각을 나타냈고, Renate Schorler Stiftung Klavierwettbewerb, Karlrobert Kreiten Piano Competition, ""Grand Prize Virtuoso"" International Music Competition, 제4회 ""Sviatoslav Richter"" International Piano Competition 등에서 우승하며 뛰어난 연주 실력을 인정받았다.  쾰른 음대에서 결성한 트리오 팀과 함께 활동하며 International Cologne Chamber Competition 2위, Franz Schubert and Modern International Competition 및 ARD International Music Competition 준결승 진출, 아트실비아 실내악 오디션 특별상을 수상하는 등 다수의 국제 콩쿠르에서 성과를 올렸다.     예술의전당 랑데뷰 드 라 무지크 페스티벌, 양주시립교향악단 마티네 콘서트, 더하우스콘서트 줄라이 페스티벌, 24시간 프로젝트, 경기아트센터 서가 콘서트, 백향민의 수요음감회, 위클리 클래식 페스티벌, 서초문화재단, 서울문화재단, 과천문화재단, 울주문화재단 주최 연주 등 솔로, 실내악, 협연 무대를 통해 청중과 교감하고 있다.  또한 2025년 5월 말에는 바이올리니스트 하유나와 함께 연주한 음반이 일본에서 발매될 예정으로 도쿄 최대의 클래식 음반매장 엠플러스 타워에서 음반 쇼케이스가 개최될 예정이다.  연주 기획에도 큰 관심을 보이며 대동엔틱 콘서트 시리즈의 음악감독으로 활동하며, 바이올리니스트 김응수를 초청하는 등 다양한 무대를 만들어 나가고 있다.     현재 한국피아노학회 연구원으로 소속되어 있으며, 예원학교와 서울예술고등학교에 출강하여 차세대 음악 인재 양성에 힘쓰는 동시에 UNIST Performing Arts Festival 초청 교수진으로 활동 중이다.     황건영은 피아니스트 오윤주와 Fabio Bidini에게 사사했다.     작곡가 김정근  > 한국예술종합학교 음악원 작곡과 예술사 졸업  > 한국예술종합학교 전통예술원 한국음악작곡과 예술전문사 졸업  > 한국예술종합학교 음악원, 전북대학교 강사 역임  > 현재 : 작곡동인 원시인, 작곡동인 KaMus 멤버     작곡가 김상욱  > University of California, Santa Cruz 작곡 박사  > 제 10, 11 회 ARKO 한국창작음악제 선정 작곡가  > 서울 돈화문 국악당 실내악축제 예술감독 역임  > 현재 : 서울대학교, 이화여자대학교 출강     PROGRAM  김정근 (b. 1983)  Dawn of Harmony (조화의 새벽) (세계초연)     Alexander Scriabin (1872-1915)  24 Preludes, Op. 11     INTERMISSION     김상욱 (b. 1986)  island 섬 (세계초연)     Frédéric Chopin (1810-1849)  24 Preludes, Op. 28   ",남부터미널역
3,80,[미래한강본부] 2025 한강페스티벌-봄 [Hangang River Festival-Spring],True,축제,광진구,"3개 한강공원 일대(뚝섬, 여의도, 반포)-",2025-05-16,2025-05-18,누구나,[미래한강본부] 2025 한강페스티벌-봄 [Hangang River Festival-Spring] 2025.5.16.금 -5.18.일,뚝섬유원지역
4,143,[서울상상나라] 작은정원케이크,False,교육/체험,광진구,서울상상나라 지하 1층 요리놀이실-,2025-05-06,2025-05-31,5세 이상 어린이,서울상상나라 작은 정원 케이크,어린이대공원역
5,96,"[청계천박물관] 5월 개방형교육 [우리들의 친구, 청계천박물관]",True,교육/체험,성동구,청계천박물관 교육실-,2025-05-13,2025-05-27,[오전] 유아 단체(5~7세) [오후] 5~7세 어린이를 동반한 가족,"[청계천박물관] 5월 개방형교육 [우리들의 친구, 청계천박물관]",용두역
6,140,최은지 바이올린 독주회,False,클래식,종로구,세종문화회관 세종체임버홀-,2025-05-07,2025-05-07,7세 이상 관람 가능 (2018년 이전 출생자),"PROGRAM  Johannes Brahms (1833-1897)  Violin Sonata No. 1 in G Major, Op. 78  Vivace ma non troppo  Adagio  Allegro molto moderato     Intermission     Violin Sonata No. 2 in A Major, Op. 100  Allegro amabile  Andante tranquillo – vivace  Allegretto grazioso (quasi Andante)     Violin Sonata No. 3 in d minor, Op. 108  Allegro  Adagio  Un poco presto e con sentimento  Presto agitatoPROFILE  섬세하고 진정성 있는 연주와 탁월한 음악적 기량의 바이올리니스트 최은지는 러시아 상트페테르부르크 림스키-코르사코프 국립음악원 부속 음악영재학교를 Larissa Alexandrovna Baranova의 사사 아래 졸업하였다. 이후 오스트리아 잘츠부르크 모차르테움 국립음대에서 학사과정 졸업 후 최고 권위를 자랑하는 교수 Igor Ozim에게 발탁되어, 동대학 석사과정을 만장일치 최우수성적으로 졸업하였고, 최고연주자과정을 졸업하였다.     일찍이 국내 유수의 콩쿨에서 입상하며 음악에 두각을 나타낸 그녀는 음악을 깊이 있게 배우고자 만 14세에 도러, 재학 중 리투아니아 드바리오나스 국제콩쿨 수상, 이탈리아 산 바르톨로메오 국제콩쿨 1위 및 갈라콘서트 연주 등 어린 나이부터 다수의 무대에서 그 실력을 인정받았다.     러시아에서 쌓은 기반을 더 단단히 하고자 오스트리아 잘츠부르크 모차르테움 국립음대 재학시절 중 모차르테움 썸머아카데미, 하우스마토 마이스터쿠어스, 바이마르 마이스터쿠어스, Eduard Schmieder, Liana Issakadze, Zdenek Gola, Jaquline Ross의 마스터클래스를 수료하며 그 실력을 키워나갔다. 또한 아카데미 콘서트, 체코야나첵오케스트라와 협연, 모차르테움 재단 주관 Beethoven 전곡 바이올린 소나타 릴레이 연주 참여 등 다양한 연주 활동으로 한층 폭넓은 레퍼토리를 쌓은 최은지는 2016, 2017, 2018 오스트리아 스페셜 올림픽 기념 자선 음악회 초청연주, 비엔나 Orchester der Schönen Kuenste 악장 및 솔리스트 역임, Junge Muenchner Philharmonie 제2바이올린 수석 객원을 역임하는 등 독일, 오스트리아, 체코, 슬로베니아, 헝가리 등 유럽 각지에서 연주경력을 쌓았으며 J. S. Bach - Partita Nr. 1, BWV 1002 für Violine 모차르테움 주최 음반제작과 발표를 하며 전문연주자로서의 발판을 다져왔다.     학창시절 실내악으로 권위 있는 W. Redik, T. Riebl, R. Schmidt, P. Schuhmayer 등 많은 교수들과 함께 연구하며 바이올린 솔로 작품 외에 앙상블에도 관심을 갖고 적극 참여했다.     청송 국제 GEO 여름 뮤직캠프 강사 및 뮤직 콩쿨 심사위원, 청송 음악 콩쿨 심사위원장, 한국삼육고등학교 바이올린 강사 및 도봉구립교향악단 전문 단원을 역임한 바이올리니스트 최은지는 현재 선화예술중학교, 삼육대학교에 출강하여 후학 양성에 힘쓰고 있다.     Piano 이종은  -예원학교 졸업  -서울예고 재학 중 오스트리아 모차르테움 국립음대 부속 예비학교 입학  -독일 함부르크 국립음대(HfMT Hamburg) 학사, 석사, 최고연주자 과정 졸업  -현 트리오 Amuse 멤버, 연세대학교, 인천예고 출강",광화문역
7,214,2025 DDP 봄축제: 디자인 테마파크,True,축제,중구,DDP 일대-,2025-05-01,2025-05-31,누구나,2025 DDP 봄축제: 디자인 테마파크 2025.5.1.(목) ~ 5.31.(토),동대문역사문화공원역
8,211,[청춘극장] 2025년 5월 영화 및 공연 프로그램,False,영화,중구,청춘극장 문화일보홀-,2025-05-01,2025-05-31,프로그램별 상이,"청춘극장  5月 상영작 안내 선셋대로 (110분) 4.28(월)~5.2(금)  1회  10:20  2회 12:30  3회 14:40  4.30(수)  1회 10:20  2회  12:30 14시30분  시네마테라피 14시30분  출연: 윌리암 홀덴, 글로리아 스완슨 애정의 쌀 (109분) 출연: 비토리오 가스만, 도리스 다울링 5.5(월)~5.9(금)  1회  10:20  2회 12:30  FILM  3회 14:40  5.7(수)  1회  10:20  2회  12:30  14시40분  청춘은 떼창이다 굿바이마이라이프(116분)  출연: 스펜서 트레이시, 라이오넬 배리모어 5.12(월)~5.16 (금)  1회  10:20  2회  12:30  AS GREAT AS ",서대문역
9,252,[#좋아요_동대문구] 2025년 동북권 체험형 관광코스,False,교육/체험,중구,동대문구 일대-,2025-04-26,2025-10-26,누구나,"2025년 동북권 체험형 관광코스 동대문구 축제 정보  동대문구 봄꽃축제  2008년에 시작되어 30-40년생 벚나무가 있는 2.5km구간에 걸친 중랑천 둔치에서 봄꽃을 감상 하며 다양한 문화예술 공연과 프로그램을 즐기는 동대문구의 대표 축제  매년 4월 초 봄꽃개화시기  장안1 수변 공원  선농대제  농사의 신 신농(神農)에게 올렸던 제사와 임금이 풍작을 바라는 마음으로 직접 밭에서 농사를 짓던 제례를 복원하여 전통 의식을 이어가며 행사 등을 통해 다양한 즐길거리를 선사합니다.  매년 4월 중순 경  선농단 역사 공원 일대  동대문 페스티벌  형형색색 컬러 파우더로 도심을 물들이고 흥겨운 DJ와 댄스 메들리를 즐기는 '컬러풀 뭅뭅', 다함께 거리를 걷고 뛰며 파티를 벌이는 '너를 위한 파티'등 전문 예술가들과 함께 거리 예술에 참여하는 축제  매년 10월 경  장안동 사거리 일대  동대문구 대표 명소  선농단 역사문화관  선농단은 조선시대 임금들이 풍년을 기원하며 제사를 지내고 친히 밭을 갈던 곳으로, 1476년 성종이 조성한 사적 436호이다. 이곳에는 수령 약 500년 된 천연기념물 제240호 향나무가 있으며, 2015년 개관한 역사문화관에서 선농제의 발전 과정과 농경 문화를 체험할 수 있다.  경동시장  한국전쟁 직후 서울의 동쪽에 위치한 경기 북동부 그리고 강원도 일대의 상인들이 열차를 타고 모여들기 시작했다. 하나 둘 모여든 상인들이 터를 잡으며 만들어진 곳이 바로 '서울의 동쪽' 경동시장이다 홍릉시험림(홍릉숲)  홍릉숲은 1922년 국립산림과학원이 조성한 곳으로, 명성황후의 능이 있던 자리에서 이름을 얻었다. 매주 주말 개방되며, 2,000여 종의 식물이 자라는 도심 속 자연 체험 공간이다. 홍릉숲 안에 자리하고 있는 천장산 나무공방은 자연 친화적인 체험활동을 통해 창의성과 집중력을 키우는 공간입니다 2025 동북권 체험형 관광코스  운영기간 (총 60회)  상반기 2025.4.26.(토)~7. 12.(토)  하반기 2025.9.3.(수) ~ 10.26.(일)  문의처  문화관광과 02-2127-4710 예약문의 02-318-1664~5  참가비  버스형 10,000원  도보형 5,000원  예약접수  동대문구청 누리집  www.ddm.go.kr  동대문구 소식받기 행복도에는 총대문구  우리동네 축제·행사·이벤트  유익한 강의·교육 프로그램  나를 위한 복지·혜택 정보 ",충무로역
